id,probe,metric,n,mean
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,acquire__L39,burst_start_distance,80,32.125
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,report__L39,trigger_distance,115,21.608695652173914
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,report__L39,silent_gap,58,40.86206896551724
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,report__L39,burst_start_distance,58,42.56896551724138
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,motivated__L39,trigger_distance,170,14.523529411764706
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,motivated__L39,silent_gap,93,24.72043010752688
2c3d9ea3788c169c0f577bcd8e6a0ab0996cb6c0f40f8c06933823c672871778,motivated__L39,burst_start_distance,93,26.537634408602152
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,suite__L39,trigger_distance,138,18.05072463768116
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,suite__L39,silent_gap,95,24.768421052631577
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,suite__L39,burst_start_distance,95,26.189473684210526
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,validator__L39,trigger_distance,71,33.901408450704224
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,validator__L39,silent_gap,39,59.8974358974359
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,validator__L39,burst_start_distance,39,61.717948717948715
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,scorefile__L39,trigger_distance,94,25.5
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,scorefile__L39,silent_gap,70,32.9
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,scorefile__L39,burst_start_distance,70,34.24285714285714
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,acquire__L39,trigger_distance,126,19.3015873015873
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,acquire__L39,silent_gap,88,26.204545454545453
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,acquire__L39,burst_start_distance,88,27.59090909090909
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,report__L39,trigger_distance,193,12.606217616580311
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,report__L39,silent_gap,66,33.93939393939394
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,report__L39,burst_start_distance,66,36.621212121212125
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,motivated__L39,trigger_distance,114,21.105263157894736
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,motivated__L39,silent_gap,65,35.261538461538464
380e8e09e37a770796b087e7b0246854a108150991d9a763a6534b0a239135cc,motivated__L39,burst_start_distance,65,37.01538461538462
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,suite__L39,trigger_distance,125,23.376
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,suite__L39,silent_gap,88,31.78409090909091
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,suite__L39,burst_start_distance,88,33.20454545454545
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,validator__L39,trigger_distance,179,16.022346368715084
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,validator__L39,silent_gap,80,33.6125
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,validator__L39,burst_start_distance,80,35.7875
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,scorefile__L39,trigger_distance,187,15.850267379679144
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,scorefile__L39,silent_gap,127,21.866141732283463
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,scorefile__L39,burst_start_distance,127,23.338582677165356
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,acquire__L39,trigger_distance,148,19.35810810810811
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,acquire__L39,silent_gap,97,28.010309278350515
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,acquire__L39,burst_start_distance,97,29.536082474226806
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,report__L39,trigger_distance,102,28.294117647058822
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,report__L39,silent_gap,63,44.19047619047619
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,report__L39,burst_start_distance,63,45.65079365079365
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,motivated__L39,trigger_distance,232,12.362068965517242
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,motivated__L39,silent_gap,118,22.338983050847457
1686f9382b6e665489767d47b415ffbb75ce1dab51f47866cc3c853aed21ddc8,motivated__L39,burst_start_distance,118,24.305084745762713
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,suite__L39,trigger_distance,163,23.766871165644172
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,suite__L39,silent_gap,114,32.55263157894737
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,suite__L39,burst_start_distance,114,33.95614035087719
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,validator__L39,trigger_distance,142,26.718309859154928
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,validator__L39,silent_gap,74,49.351351351351354
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,validator__L39,burst_start_distance,74,51.270270270270274
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,scorefile__L39,trigger_distance,182,21.181318681318682
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,scorefile__L39,silent_gap,134,27.41044776119403
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,scorefile__L39,burst_start_distance,134,28.76865671641791
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,acquire__L39,trigger_distance,188,19.909574468085108
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,acquire__L39,silent_gap,133,26.729323308270676
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,acquire__L39,burst_start_distance,133,28.105263157894736
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,report__L39,trigger_distance,203,18.76847290640394
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,report__L39,silent_gap,80,45.0875
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,report__L39,burst_start_distance,80,47.525
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,motivated__L39,trigger_distance,244,15.290983606557377
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,motivated__L39,silent_gap,128,27.2421875
a8c0b1a2a66f6516baa22052cd00d6b69841eef62def17735269f3e26504b0fc,motivated__L39,burst_start_distance,128,29.1484375
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,suite__L39,trigger_distance,187,14.197860962566844
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,suite__L39,silent_gap,106,23.28301886792453
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,suite__L39,burst_start_distance,106,24.9811320754717
d0a1e653c893c382d01188ea32814c5aded728a5a777cc4fcc40a7d2ff323c88,validator__L39,trigger_distance,141,18.51063829787234
